id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
970,LCCE26689,"SIEMENS 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1",,Nos,SIEMENS,,MOTOR
971,LCCC13453,"BELT B-69",,Nos,OEM,,BELT
972,LCCC12775,315x3B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
973,LCCC13454,"BELT B-70",,Nos,OEM,,BELT
974,LCCC13455,"BELT B-71",,Nos,OEM,,BELT
975,LCCE26814,"SIEMENS 18.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,SIEMENS,,MOTOR
976,LAHC11131,"ADA 500 CM KRUGER MAKE",,Nos,KRUGER,,FAN
977,LCCH30205,"NUT M6 GI",,Nos,OEM,,FASTENERS
978,LCCE26951,"BHARATH BIJILEE 9.3 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,"BHARATH BIJILEE",,MOTOR
979,LCCC13456,"BELT B-72",,Nos,OEM,,BELT
980,LCCC13457,"BELT B-73",,Nos,OEM,,BELT
981,LAHC15534,"FAN FLEXIBLE 180",,Nos,OEM,,ANTI-VIBRATIONS
982,LCCE26505,"CG 1.1 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
983,LCCE26810,"SIEMENS 7.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,SIEMENS,,MOTOR
984,LCCE26352,"ABB 11 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
985,LAHC24146,"HRW 600 - Enthalpy Wheel",,Nos,OEM,,"HEAT RECOVERY WHEEL"
986,LCCE26483,"CG 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
987,LAHC14380,"HEPA FILTER EU14 GRADE - 610 MM (W) x 610 MM (H) x 305MM (D)",,Nos,OEM,"HEPA FILTER",FILTER
988,LAHC11132,"ADA 560 CM KRUGER MAKE",,Nos,KRUGER,,FAN
989,LCCC12776,355x3B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
990,LCCC12777,400x3B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
991,LAHC11133,"ADA 630 CM KRUGER MAKE",,Nos,KRUGER,,FAN
992,LCCE26486,"CG 1.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
993,LCCE26887,"BHARATH BIJILEE 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,"BHARATH BIJILEE",,MOTOR
994,LCCE26716,"SIEMENS 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,SIEMENS,,MOTOR
995,LCCE26896,"BHARATH BIJILEE 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,"BHARATH BIJILEE",,MOTOR
996,LCCE26459,"ABB 55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,ABB,,MOTOR
997,LCCE26341,"ABB 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
998,LCCE27003,"BHARATH BIJILEE 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,"BHARATH BIJILEE",,MOTOR
999,LCCE26729,"SIEMENS 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2",,Nos,SIEMENS,,MOTOR
1000,LCCM47006,"Hole saw cutter 1 1/2 inch",,Nos,OEM,,"Hand Tools"
