id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
445,LCCE26967,BHARATH BIJILEE 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,BHARATH BIJILEE,,MOTOR
446,LCCE26492,CG 11 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
447,LAHC11056,KAT 12/12 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
448,LCCE26893,BHARATH BIJILEE 15 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1,,Nos,BHARATH BIJILEE,,MOTOR
449,LAHC24125,HRW 700 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
450,LCCE26365,ABB 1.1 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
451,LCCE26941,BHARATH BIJILEE 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,BHARATH BIJILEE,,MOTOR
452,LCCE26592,CG 11 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,CG,,MOTOR
453,LAHC14342,BAG FILTER EU8 GRADE - 592 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
454,LAHC11057,KAT 15/11 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
455,LAHC11058,KAT 15/15 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
456,LCCC12740,630x 3A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
457,LAHC11059,KAT 18/13 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
458,LCCE26700,SIEMENS 75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,SIEMENS,,MOTOR
459,LCCE26587,CG 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,CG,,MOTOR
460,LCCE26937,BHARATH BIJILEE 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,BHARATH BIJILEE,,MOTOR
461,LAHC15508,Spring Isolator - Blue,,Nos,OEM,,ANTI-VIBRATIONS
