id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
2394,LCCC12874,125x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2395,LCCC12875,132x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2396,LCCC12876,140x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2397,LCCC12877,150x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2398,LCCC12878,160x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2399,LCCC12879,180x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2400,LCCC12880,200x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2401,LCCC12881,250x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2402,LAHC24767,ACOUSTIC INSULATION,,Square Meters,OEM,,GASKET & INSULATION
2403,LCCC16986,LIQUID ADHESIVE ,,Ltrs,OEM,,CONSUMABLES
2404,LAHC11310,ER40C-2DNF7.1R ,,Nos,OEM,,FAN
2405,LAHC14534,MINI PLEAT FINE FILTER EU7 - 595 MM (W) x 595 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2406,LAHC14535,MINI PLEAT FINE FILTER EU7- 595 MM (W) x 494 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2407,LAHC14536,MINI PLEAT FINE FILTER EU7- 494 MM (W) x 595 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2408,LAHC14537,MINI PLEAT FINE FILTER EU7- 595 MM (W) x 290 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2409,LAHC14538,MINI PLEAT FINE FILTER EU7- 290 MM (W) x 595 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2410,LAHC14539,RIGID FILTER EU5 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2411,LAHC14540,RIGID FILTER EU5 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2412,LAHC14541,RIGID FILTER EU5 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2413,LAHC14542,RIGID FILTER EU5 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2414,LAHC14543,RIGID FILTER EU5 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2415,LAHC14439,RIGID FILTER EU6 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2416,LAHC14544,RIGID FILTER EU6 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2417,LAHC14545,RIGID FILTER EU6 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2418,LAHC14546,RIGID FILTER EU6 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2419,LAHC14547,RIGID FILTER EU6 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2420,LAHC14548,RIGID FILTER EU7 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2421,LAHC14549,RIGID FILTER EU7 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2422,LAHC14550,RIGID FILTER EU7 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2423,LAHC14551,RIGID FILTER EU7 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2424,LAHC14552,RIGID FILTER EU7 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2425,LAHC14553,RIGID FILTER EU9 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2426,LAHC14554,RIGID FILTER EU9 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2427,LAHC14555,RIGID FILTER EU9 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
